Marker;ISO;R;P;Connections
bóò;nhr;0.58;<0.001;See
jabetu;eus;0.56;<0.001;Opaque
amuya;ayr;0.53;<0.001;Opaque
lí';cco;0.53;<0.001;Opaque
māmatsi;hop;0.51;<0.001;Opaque
хиъча;che;0.50;<0.001;Opaque
jus nlay;jic;0.49;<0.001;Opaque
öğren;tur;0.49;<0.001;Opaque
huëshë;yuz;0.48;<0.001;Hear
satoru;jpn;0.47;<0.001;Opaque
ito;cuk;0.47;<0.001;Hear
kóḿ;nhr;0.47;<0.001;Hear
əto;tnn;0.46;<0.001;Hear
tsən;mfh;0.46;<0.001;Hear
funn;pdc;0.43;<0.005;Opaque
nya;wbp;0.43;<0.005;See
ingitei;ong;0.43;<0.005;Hear
ɛgaa;dts;0.42;<0.005;Hear
adolehos;chr;0.41;<0.005;Opaque
tʉho;gvc;0.41;<0.005;Hear
ĕlmăd;taq;0.39;<0.005;Opaque
ku;wca;0.39;<0.005;Say
oce \textsc{s.nsubj};mhi;0.39;<0.005;Say
mbararagi;geb;0.38;<0.005;Hear
waby;rkb;0.38;<0.005;Hear
drk;arb;0.37;<0.01;Opaque
eg;mej;0.37;<0.01;Hear
mitta;cul;0.36;<0.01;Hear
purda;wbp;0.36;<0.01;Hear
elpek;esu;0.35;<0.01;Opaque
saaluŋ;kss;0.35;<0.01;Opaque
kai;faa;0.35;<0.01;Hear
neide;kqc;0.35;<0.01;Hear
듣다;kor;0.35;<0.01;Hear
